sku,product_name,category,collection,material,secondary_material,color_palette,style_tags,msrp,length_cm,width_cm,height_cm,weight_kg,description,image_url,status,launch_year
SKU-0094,Tuscany Collection Raw Oak Desk Compact,Desk,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1718.89,136.9,65.4,81.1,27.2,Mid-century raw oak desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0094.jpg,Active,2025
SKU-0095,Tuscany Collection Linen Desk XL,Desk,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2520.61,154.5,66.5,78.7,29.4,Standing-height adjustable linen desk for home offices.,https://catalog.example.com/images/SKU-0095.jpg,Active,2023
SKU-0096,Tuscany Collection Raw Oak Nightstand,Nightstand,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1450.84,48.6,44.0,55.1,13.1,Two-drawer raw oak nightstand with soft-close hardware.,https://catalog.example.com/images/SKU-0096.jpg,Active,2022
SKU-0097,Tuscany Collection Linen Nightstand II,Nightstand,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2351.12,48.1,42.8,51.9,10.6,Floating linen nightstand with built-in wireless charging.,https://catalog.example.com/images/SKU-0097.jpg,Limited Edition,2022
SKU-0098,Tuscany Collection Raw Oak Nightstand Slim,Nightstand,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2535.81,56.0,39.9,50.4,12.1,Petite raw oak nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0098.jpg,Active,2022
SKU-0099,Tuscany Collection Linen Nightstand Wide,Nightstand,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1721.96,48.5,44.2,59.9,13.4,Petite linen nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0099.jpg,Active,2024
SKU-0100,Organic Living Bamboo Dining Table,Dining Table,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,814.65,178.1,105.9,78.7,48.4,Elegant bamboo dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0100.jpg,Active,2025
SKU-0101,Organic Living Linen Dining Table II,Dining Table,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2407.32,223.1,99.9,66.7,45.0,"Sturdy linen table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0101.jpg,Discontinued,2022
SKU-0102,Organic Living Teak Dining Table Slim,Dining Table,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2627.65,180.8,109.9,66.3,41.2,Elegant teak dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0102.jpg,Limited Edition,2021
SKU-0103,Organic Living Bamboo Dining Table Wide,Dining Table,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,362.26,192.3,104.6,77.7,48.8,Elegant bamboo dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0103.jpg,Limited Edition,2024
SKU-0104,Organic Living Linen Dining Table Compact,Dining Table,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1232.03,206.1,109.3,74.8,45.4,Elegant linen dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0104.jpg,Discontinued,2020
SKU-0105,Organic Living Bamboo Chair,Chair,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1947.81,61.6,58.3,88.6,7.2,"Light yet durable bamboo chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0105.jpg,Limited Edition,2025
SKU-0106,Organic Living Linen Chair II,Chair,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2635.85,50.6,52.4,79.8,7.7,"Light yet durable linen chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0106.jpg,Active,2022
SKU-0107,Organic Living Teak Chair Slim,Chair,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1170.62,50.3,55.4,91.4,8.6,"Light yet durable teak chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0107.jpg,Active,2021
SKU-0108,Organic Living Bamboo Chair Wide,Chair,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,374.06,56.6,51.6,98.9,7.3,"Light yet durable bamboo chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0108.jpg,Active,2025
SKU-0109,Organic Living Bamboo Sofa,Sofa,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1458.78,194.1,101.9,93.2,57.3,Classic 3-seater bamboo sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0109.jpg,Active,2020
SKU-0110,Organic Living Linen Sofa II,Sofa,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,1407.93,245.7,90.4,94.4,57.5,Modular linen sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0110.jpg,Active,2022
SKU-0111,Organic Living Teak Sofa Slim,Sofa,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,716.77,238.7,86.0,82.6,53.1,Modular teak sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0111.jpg,Active,2025
SKU-0112,Organic Living Bamboo Sofa Wide,Sofa,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,990.41,214.5,83.8,92.4,58.7,Classic 3-seater bamboo sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0112.jpg,Active,2024
SKU-0113,Organic Living Linen Sofa Compact,Sofa,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2272.74,234.6,88.8,91.2,51.3,Modular linen sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0113.jpg,Active,2024
SKU-0114,Organic Living Bamboo Bookshelf,Bookshelf,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2080.63,95.8,36.5,164.3,31.6,Wall-mounted bamboo shelf system for books and décor.,https://catalog.example.com/images/SKU-0114.jpg,Limited Edition,2025
SKU-0115,Organic Living Linen Bookshelf II,Bookshelf,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,261.35,79.9,33.9,164.1,38.4,Tall linen bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0115.jpg,Active,2025
SKU-0116,Organic Living Teak Bookshelf Slim,Bookshelf,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1333.18,82.1,35.3,200.4,35.3,Open-shelf teak bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0116.jpg,Active,2021
SKU-0117,Organic Living Bamboo Bookshelf Wide,Bookshelf,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,881.36,100.1,33.3,196.0,37.6,Tall bamboo bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0117.jpg,Active,2020
SKU-0118,Organic Living Linen Bookshelf Compact,Bookshelf,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,550.16,97.8,36.9,200.7,38.9,Open-shelf linen bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0118.jpg,Discontinued,2022
SKU-0119,Organic Living Bamboo Coffee Table,Coffee Table,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2402.44,113.2,54.6,43.6,21.2,Low-profile bamboo coffee table with rounded edges.,https://catalog.example.com/images/SKU-0119.jpg,Active,2024
SKU-0120,Organic Living Linen Coffee Table II,Coffee Table,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,1234.92,132.7,54.4,42.1,17.7,Nesting linen coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0120.jpg,Discontinued,2022
SKU-0121,Organic Living Teak Coffee Table Slim,Coffee Table,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2757.48,124.3,61.9,44.6,21.0,Low-profile teak coffee table with rounded edges.,https://catalog.example.com/images/SKU-0121.jpg,Limited Edition,2023
SKU-0122,Organic Living Bamboo Coffee Table Wide,Coffee Table,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,481.53,132.9,57.2,44.9,18.1,Low-profile bamboo coffee table with rounded edges.,https://catalog.example.com/images/SKU-0122.jpg,Discontinued,2021
SKU-0123,Organic Living Bamboo Bed Frame,Bed Frame,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1441.88,232.6,167.5,40.4,51.0,Queen-size bamboo bed frame with slatted base support.,https://catalog.example.com/images/SKU-0123.jpg,Limited Edition,2021
SKU-0124,Organic Living Linen Bed Frame II,Bed Frame,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2672.43,189.8,159.6,39.1,55.4,Queen-size linen bed frame with slatted base support.,https://catalog.example.com/images/SKU-0124.jpg,Active,2025
SKU-0125,Organic Living Teak Bed Frame Slim,Bed Frame,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,1205.01,207.2,149.9,38.7,55.8,Minimalist teak bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0125.jpg,Active,2024
SKU-0126,Organic Living Bamboo Bed Frame Wide,Bed Frame,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2718.83,202.9,156.1,37.0,45.5,Queen-size bamboo bed frame with slatted base support.,https://catalog.example.com/images/SKU-0126.jpg,Active,2020
SKU-0127,Organic Living Linen Bed Frame Compact,Bed Frame,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2037.89,217.0,178.1,35.7,48.0,Queen-size linen bed frame with slatted base support.,https://catalog.example.com/images/SKU-0127.jpg,Active,2024
SKU-0128,Organic Living Bamboo Side Table,Side Table,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,344.54,46.5,46.6,65.3,9.6,Round bamboo side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0128.jpg,Active,2024
SKU-0129,Organic Living Linen Side Table II,Side Table,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,157.08,55.9,50.5,64.3,9.1,Compact linen side table with a single drawer.,https://catalog.example.com/images/SKU-0129.jpg,Active,2021
SKU-0130,Organic Living Teak Side Table Slim,Side Table,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,191.35,51.1,44.2,56.6,9.1,Compact teak side table with a single drawer.,https://catalog.example.com/images/SKU-0130.jpg,Active,2024
SKU-0131,Organic Living Bamboo Side Table Wide,Side Table,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,472.9,49.7,53.3,60.2,9.1,Compact bamboo side table with a single drawer.,https://catalog.example.com/images/SKU-0131.jpg,Discontinued,2021
SKU-0132,Organic Living Bamboo Console,Console,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,272.59,130.7,39.6,88.9,22.4,Narrow bamboo console table with brass-tipped legs.,https://catalog.example.com/images/SKU-0132.jpg,Active,2023
SKU-0133,Organic Living Linen Console II,Console,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,1363.88,129.7,43.9,71.8,22.5,Slim linen console table for entryways and hallways.,https://catalog.example.com/images/SKU-0133.jpg,Discontinued,2021
SKU-0134,Organic Living Teak Console Slim,Console,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,336.19,133.9,40.8,84.1,24.3,Elegant teak console with two open shelves below.,https://catalog.example.com/images/SKU-0134.jpg,Discontinued,2024
SKU-0135,Organic Living Bamboo Console Wide,Console,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,989.46,133.3,36.2,83.9,27.1,Narrow bamboo console table with brass-tipped legs.,https://catalog.example.com/images/SKU-0135.jpg,Limited Edition,2024
SKU-0136,Organic Living Linen Console Compact,Console,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2203.39,127.8,43.7,78.3,27.0,Slim linen console table for entryways and hallways.,https://catalog.example.com/images/SKU-0136.jpg,Active,2023
SKU-0137,Organic Living Teak Console XL,Console,Organic Living,teak,bamboo,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2228.4,127.7,41.6,77.6,22.9,Elegant teak console with two open shelves below.,https://catalog.example.com/images/SKU-0137.jpg,Active,2020
SKU-0138,Organic Living Bamboo Desk,Desk,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2519.55,137.7,74.1,72.7,27.3,Spacious bamboo writing desk with cable management.,https://catalog.example.com/images/SKU-0138.jpg,Active,2024
SKU-0139,Organic Living Linen Desk II,Desk,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,2875.38,134.3,63.7,72.4,31.2,Mid-century linen desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0139.jpg,Active,2025
SKU-0140,Organic Living Teak Desk Slim,Desk,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,295.62,143.4,67.5,76.4,27.9,Standing-height adjustable teak desk for home offices.,https://catalog.example.com/images/SKU-0140.jpg,Limited Edition,2023
SKU-0141,Organic Living Bamboo Desk Wide,Desk,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,788.1,135.0,70.9,68.1,28.4,Spacious bamboo writing desk with cable management.,https://catalog.example.com/images/SKU-0141.jpg,Active,2023
SKU-0142,Organic Living Bamboo Nightstand,Nightstand,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2926.46,51.4,41.4,48.7,13.2,Petite bamboo nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0142.jpg,Limited Edition,2022
SKU-0143,Organic Living Linen Nightstand II,Nightstand,Organic Living,linen,teak,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,231.52,52.4,38.2,52.9,10.6,Floating linen nightstand with built-in wireless charging.,https://catalog.example.com/images/SKU-0143.jpg,Active,2024
SKU-0144,Organic Living Teak Nightstand Slim,Nightstand,Organic Living,teak,bamboo,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2022.43,45.7,41.3,48.8,12.7,Two-drawer teak nightstand with soft-close hardware.,https://catalog.example.com/images/SKU-0144.jpg,Active,2023
SKU-0145,Organic Living Bamboo Nightstand Wide,Nightstand,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,1345.52,45.9,38.2,52.7,13.3,Floating bamboo nightstand with built-in wireless charging.,https://catalog.example.com/images/SKU-0145.jpg,Discontinued,2020
SKU-0146,Organic Living Linen Nightstand Compact,Nightstand,Organic Living,linen,teak,Natural Bamboo / Soft White,organic-modern | warm-neutrals | boucle,2666.53,45.9,41.1,57.3,11.3,Two-drawer linen nightstand with soft-close hardware.,https://catalog.example.com/images/SKU-0146.jpg,Limited Edition,2023
SKU-0147,Organic Living Teak Nightstand XL,Nightstand,Organic Living,teak,bamboo,Teak Brown / Oat Linen,organic-modern | warm-neutrals | boucle,1533.14,49.0,37.3,55.2,11.6,Floating teak nightstand with built-in wireless charging.,https://catalog.example.com/images/SKU-0147.jpg,Active,2022
SKU-0148,Nordic Frost Birch Dining Table,Dining Table,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2082.69,201.3,95.4,70.0,50.2,Elegant birch dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0148.jpg,Active,2020
SKU-0149,Nordic Frost Wool Dining Table II,Dining Table,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,731.61,212.8,106.3,71.2,40.9,"Generously proportioned dining table for family gatherings, crafted from wool.",https://catalog.example.com/images/SKU-0149.jpg,Active,2025
SKU-0150,Nordic Frost Steel Dining Table Slim,Dining Table,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1376.37,194.2,104.9,75.0,48.6,"Generously proportioned dining table for family gatherings, crafted from steel.",https://catalog.example.com/images/SKU-0150.jpg,Active,2020
SKU-0151,Nordic Frost Birch Dining Table Wide,Dining Table,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1280.65,178.0,88.4,82.6,48.9,"Sturdy birch table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0151.jpg,Discontinued,2023
SKU-0152,Nordic Frost Wool Dining Table Compact,Dining Table,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1783.19,206.7,94.9,73.3,50.0,"Sturdy wool table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0152.jpg,Active,2024
SKU-0153,Nordic Frost Steel Dining Table XL,Dining Table,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1460.28,220.1,90.1,81.2,42.2,"Sturdy steel table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0153.jpg,Discontinued,2023
SKU-0154,Nordic Frost Birch Chair,Chair,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,373.14,58.2,51.3,96.0,7.2,"Light yet durable birch chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0154.jpg,Limited Edition,2020
SKU-0155,Nordic Frost Wool Chair II,Chair,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1661.22,60.4,53.0,94.9,8.6,Comfortable wool dining chair with ergonomic lumbar support.,https://catalog.example.com/images/SKU-0155.jpg,Active,2021
SKU-0156,Nordic Frost Steel Chair Slim,Chair,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,441.99,51.0,56.4,95.6,8.3,"Light yet durable steel chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0156.jpg,Active,2025
SKU-0157,Nordic Frost Birch Chair Wide,Chair,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1557.23,58.4,54.3,99.2,8.1,Sculptural birch accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0157.jpg,Limited Edition,2024
SKU-0158,Nordic Frost Wool Chair Compact,Chair,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1070.14,52.6,54.2,89.3,8.3,Sculptural wool accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0158.jpg,Active,2024
SKU-0159,Nordic Frost Steel Chair XL,Chair,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,309.09,49.4,54.5,80.0,7.7,Sculptural steel accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0159.jpg,Active,2020
SKU-0160,Nordic Frost Birch Sofa,Sofa,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2612.11,226.1,95.2,84.2,55.7,Deep-seated birch sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0160.jpg,Limited Edition,2020
SKU-0161,Nordic Frost Wool Sofa II,Sofa,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1430.74,228.0,90.9,84.5,50.4,Classic 3-seater wool sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0161.jpg,Active,2023
SKU-0162,Nordic Frost Steel Sofa Slim,Sofa,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,443.98,245.5,85.5,88.0,48.9,Modular steel sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0162.jpg,Limited Edition,2023
SKU-0163,Nordic Frost Birch Sofa Wide,Sofa,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,2973.31,221.2,87.2,82.4,52.1,Classic 3-seater birch sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0163.jpg,Active,2022
SKU-0164,Nordic Frost Wool Sofa Compact,Sofa,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2083.86,235.3,98.4,76.1,49.6,Deep-seated wool sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0164.jpg,Limited Edition,2023
SKU-0165,Nordic Frost Steel Sofa XL,Sofa,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,958.82,238.6,105.6,87.1,50.4,Classic 3-seater steel sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0165.jpg,Active,2024
SKU-0166,Nordic Frost Birch Bookshelf,Bookshelf,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,552.07,85.9,36.3,187.0,31.9,Tall birch bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0166.jpg,Limited Edition,2020
SKU-0167,Nordic Frost Wool Bookshelf II,Bookshelf,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1031.31,93.1,33.6,163.9,36.7,Tall wool bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0167.jpg,Limited Edition,2025
SKU-0168,Nordic Frost Steel Bookshelf Slim,Bookshelf,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2749.48,93.2,34.4,174.0,33.8,Open-shelf steel bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0168.jpg,Active,2021
SKU-0169,Nordic Frost Birch Bookshelf Wide,Bookshelf,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1122.94,83.3,39.2,165.1,33.3,Tall birch bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0169.jpg,Active,2024
SKU-0170,Nordic Frost Wool Bookshelf Compact,Bookshelf,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2345.99,98.3,31.1,172.9,37.2,Wall-mounted wool shelf system for books and décor.,https://catalog.example.com/images/SKU-0170.jpg,Active,2024
SKU-0171,Nordic Frost Steel Bookshelf XL,Bookshelf,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1222.65,83.1,36.6,185.4,38.4,Open-shelf steel bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0171.jpg,Limited Edition,2023
SKU-0172,Nordic Frost Birch Coffee Table,Coffee Table,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1319.95,126.3,66.8,46.2,21.2,Nesting birch coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0172.jpg,Active,2021
SKU-0173,Nordic Frost Wool Coffee Table II,Coffee Table,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1670.93,133.4,64.1,49.4,18.5,Round wool coffee table combining form and function.,https://catalog.example.com/images/SKU-0173.jpg,Limited Edition,2024
SKU-0174,Nordic Frost Steel Coffee Table Slim,Coffee Table,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2954.65,127.8,64.0,45.0,19.6,Round steel coffee table combining form and function.,https://catalog.example.com/images/SKU-0174.jpg,Active,2021
SKU-0175,Nordic Frost Birch Coffee Table Wide,Coffee Table,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,2432.59,130.7,53.6,44.8,19.4,Low-profile birch coffee table with rounded edges.,https://catalog.example.com/images/SKU-0175.jpg,Active,2025
SKU-0176,Nordic Frost Birch Bed Frame,Bed Frame,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,2574.82,189.0,147.0,39.5,50.2,Minimalist birch bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0176.jpg,Active,2020
SKU-0177,Nordic Frost Wool Bed Frame II,Bed Frame,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,2846.28,226.0,174.8,44.1,49.0,Platform wool bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0177.jpg,Active,2024
SKU-0178,Nordic Frost Steel Bed Frame Slim,Bed Frame,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1214.79,234.9,155.2,35.5,55.2,Minimalist steel bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0178.jpg,Limited Edition,2025
SKU-0179,Nordic Frost Birch Bed Frame Wide,Bed Frame,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1104.58,191.7,151.8,43.2,52.4,Platform birch bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0179.jpg,Active,2025
SKU-0180,Nordic Frost Wool Bed Frame Compact,Bed Frame,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1485.96,185.1,143.8,37.7,54.0,Queen-size wool bed frame with slatted base support.,https://catalog.example.com/images/SKU-0180.jpg,Discontinued,2025
SKU-0181,Nordic Frost Steel Bed Frame XL,Bed Frame,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1884.31,190.4,151.9,38.1,44.6,Minimalist steel bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0181.jpg,Active,2025
SKU-0182,Nordic Frost Birch Side Table,Side Table,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1451.77,54.0,50.0,60.5,10.3,Compact birch side table with a single drawer.,https://catalog.example.com/images/SKU-0182.jpg,Discontinued,2021
SKU-0183,Nordic Frost Wool Side Table II,Side Table,Nordic Frost,wool,steel,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,2196.85,49.2,51.4,56.3,9.8,Geometric wool accent table for beside your sofa.,https://catalog.example.com/images/SKU-0183.jpg,Limited Edition,2025
SKU-0184,Nordic Frost Steel Side Table Slim,Side Table,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,393.0,44.8,50.3,60.1,11.2,Geometric steel accent table for beside your sofa.,https://catalog.example.com/images/SKU-0184.jpg,Discontinued,2020
SKU-0185,Nordic Frost Birch Side Table Wide,Side Table,Nordic Frost,birch,wool,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1261.79,44.5,48.6,58.2,10.6,Geometric birch accent table for beside your sofa.,https://catalog.example.com/images/SKU-0185.jpg,Active,2020
SKU-0186,Nordic Frost Wool Side Table Compact,Side Table,Nordic Frost,wool,steel,Pale Birch / Arctic White,scandinavian | minimalist | cool-tones,1131.69,51.9,45.2,61.2,10.6,Round wool side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0186.jpg,Active,2020
SKU-0187,Nordic Frost Steel Side Table XL,Side Table,Nordic Frost,steel,birch,Matte Steel / Frost Grey,scandinavian | minimalist | cool-tones,1153.05,53.8,46.1,64.0,9.9,Geometric steel accent table for beside your sofa.,https://catalog.example.com/images/SKU-0187.jpg,Limited Edition,2023
